Reward,No cash trade,No stock trade,Net worth end game,Stop day
17.722103118896456,0,0,217.72210311889646,251.0
11.400032043457031,1,0,211.40003204345703,19.0
9.31153106689456,1,0,209.31153106689456,15.0
7.653182983398466,1,0,207.65318298339847,11.0
6.001789093017578,1,0,206.00178909301758,10.0
5.585468292236328,1,0,205.58546829223633,10.0
16.784317016601534,1,0,216.78431701660153,33.0
3.6150169372558594,1,0,203.61501693725586,14.0
9.450321197509794,1,0,209.4503211975098,18.0
14.425464630126953,1,0,214.42546463012695,61.0
14.848438262939453,1,0,214.84843826293945,39.0
20.973468780517578,0,1,220.97346878051758,235.0
