Reward,No cash trade,No stock trade
23.787151336669922,136,0
30.37779998779297,7,14
37.80510711669919,14,0
39.6191520690918,153,1
27.75834274291995,119,0
39.01793670654297,140,0
37.320045471191406,145,0
29.27143096923828,168,0
33.0927734375,152,0
35.45960235595703,93,0
27.663627624511662,21,21
40.1376876831055,122,10
28.545772552490234,148,0
29.09967041015628,46,0
42.5999641418457,33,33
38.62060928344721,102,16
32.464786529541044,87,0
30.06259536743164,68,0
34.16606140136719,20,40
10.195510864257812,49,4
47.23764419555667,59,21
36.44841384887695,97,20
46.499549865722656,32,39
54.69974899291992,103,17
39.238082885742216,133,0
29.207881927490234,61,33
18.123451232910156,117,18
37.20288848876953,70,0
47.40881347656247,30,0
25.549972534179688,15,29
46.18857955932617,114,8
50.312763214111385,120,41
42.01552200317383,31,35
37.31890106201175,38,19
43.87245559692377,27,69
38.39874267578122,11,57
26.024925231933594,110,33
23.208892822265625,54,32
38.324649810791016,54,2
24.346332550048828,9,36
25.882122039794922,5,30
24.291881561279325,31,20
37.30759048461914,5,24
12.483650207519531,10,9
31.194900512695312,25,42
32.76386260986328,13,61
0.3720664978027344,34,8
31.10498428344721,49,42
27.024192810058565,42,66
40.01441955566406,76,35
12.409461975097656,69,12
31.89954376220703,21,40
13.800487518310547,104,11
38.89331817626953,21,42
51.69976806640628,40,52
41.0875358581543,132,0
50.16200256347659,62,27
30.845046997070284,35,2
45.78366470336917,56,39
47.5556755065918,62,36
35.70575714111328,62,23
46.8117790222168,139,20
34.652549743652315,88,29
49.85378646850586,113,36
46.43395233154297,120,11
41.56842041015622,117,18
42.56560516357419,64,39
23.31639862060547,3,3
47.29746627807617,126,14
30.182796478271484,165,0
46.884605407714844,120,26
16.10973358154297,81,0
39.776527404785156,31,28
45.045982360839844,40,16
48.213993072509766,74,18
43.362045288085966,75,35
20.68170928955078,4,59
44.64151000976565,98,5
41.6171569824219,104,13
48.21116256713867,117,41
30.114704132080078,89,0
26.855323791503906,64,2
